Gender,Academic_Performance,Favorite_Subjects,Weak_Subjects,Skills,Interests,Personality_Type,Preferred_Career_Type,Hands_On_Learning,Long_Term_Education_Plan,Financial_Affordability,Scholarship_Eligibility,Technical_Aptitude,Analytical_Reasoning,Creativity_Level,Parent_Guidance,Peer_Influence,Distance_To_College,Availability_Of_Courses,Recommended_Path,Suitable_Careers,Suggested_Courses,Skills_To_Develop,Challenges_To_Overcome
Female,71.6,"Biology, History",Mathematics,"Teamwork, Critical Thinking","Art, Sports",Ambivert,Academic,True,False,Low,False,9.8,3.2,4.9,Academic,PUC,43,True,Diploma,"Economist, Business Analyst","Bachelor of Commerce, CA Foundation","Communication, Creativity",Time Management
Female,72.3,"Physics, Geography",History,"Teamwork, Leadership","Music, Writing",Extrovert,Skill-Based,False,False,Medium,False,7.2,4.9,5.7,Vocational,Diploma,12,False,Diploma,"Engineer, Doctor","MBBS, Diploma in Engineering","Creativity, Technical Skills",Time Management
Female,73.4,"Mathematics, Physics",History,"Creativity, Problem Solving","Reading, Technology",Extrovert,Neutral,True,True,Medium,False,9.7,5.2,9.7,Neutral,PUC,23,True,Diploma,"Designer, Historian","Diploma in Fine Arts, Bachelor of Arts","Technical Skills, Communication",Financial Constraint
Male,89.1,"English, Physics",Chemistry,"Creativity, Coding","Art, Business",Extrovert,Academic,True,True,Medium,False,2.6,1.7,6.6,Academic,Diploma,26,False,PUC,"Marketing Professional, Economist","Bachelor of Commerce, Diploma in Finance","Time Management, Coding",Lack of Focus
Male,69.7,"Chemistry, English",Mathematics,"Critical Thinking, Teamwork","Business, Music",Introvert,Neutral,False,False,Medium,True,6.8,7.7,4.5,Neutral,Neutral,11,True,PUC,"Accountant, Business Analyst","Bachelor of Commerce, Diploma in Finance","Networking, Coding",Time Management
Female,62.3,"Physics, Mathematics",History,"Teamwork, Critical Thinking","Writing, Music",Introvert,Skill-Based,False,True,Low,True,5.0,4.5,6.8,Neutral,Neutral,26,False,Diploma,"Engineer, Scientist","MBBS, Bachelor of Science","Communication, Networking",Financial Constraint
Male,87.4,"Biology, Physics",Economics,"Coding, Creativity","Music, Sports",Introvert,Skill-Based,True,True,Low,True,3.1,1.2,7.5,Neutral,Diploma,37,False,Diploma,"Engineer, Scientist","MBBS, Diploma in Engineering","Communication, Creativity",Financial Constraint
Female,64.4,"Mathematics, Biology",Physics,"Creativity, Critical Thinking","Technology, Art",Introvert,Skill-Based,False,False,Low,True,9.9,3.0,8.9,Vocational,Diploma,8,False,Diploma,"Designer, Artist","Bachelor of Arts, Diploma in Fine Arts","Communication, Technical Skills",Lack of Focus
Female,88.7,"Physics, Mathematics",English,"Teamwork, Creativity","Technology, Business",Extrovert,Skill-Based,False,False,High,False,6.2,7.5,7.2,Vocational,PUC,14,False,Diploma,"Accountant, Marketing Professional","Diploma in Finance, CA Foundation","Creativity, Time Management",Lack of Focus
Female,93.1,"English, Physics",Biology,"Creativity, Critical Thinking","Sports, Business",Introvert,Neutral,False,True,Low,True,4.4,7.0,2.1,Academic,Diploma,20,False,PUC,"Scientist, Engineer","MBBS, Diploma in Engineering","Creativity, Technical Skills",Financial Constraint
Male,93.3,"Chemistry, History",Physics,"Problem Solving, Critical Thinking","Technology, Music",Extrovert,Skill-Based,False,True,Low,False,5.0,5.3,7.0,Neutral,Neutral,16,True,Diploma,"Writer, Historian","Literature Studies, Diploma in Fine Arts","Communication, Time Management",Lack of Focus
Male,71.8,"Geography, Mathematics",Chemistry,"Public Speaking, Leadership","Writing, Music",Extrovert,Skill-Based,True,False,High,False,1.9,9.2,2.7,Neutral,Diploma,46,True,Diploma,"Accountant, Economist","Bachelor of Commerce, Diploma in Finance","Creativity, Networking",Time Management
Male,78.7,"Physics, Mathematics",Biology,"Leadership, Creativity","Technology, Reading",Introvert,Academic,True,True,Low,False,2.9,8.6,9.8,Neutral,PUC,7,True,PUC,"Data Analyst, Doctor","Diploma in Engineering, MBBS","Networking, Technical Skills",Lack of Focus
Male,94.5,"Chemistry, Physics",Mathematics,"Teamwork, Public Speaking","Business, Art",Introvert,Skill-Based,False,False,Medium,True,1.5,4.9,5.1,Academic,Diploma,16,False,Diploma,"Accountant, Marketing Professional","Diploma in Finance, Bachelor of Commerce","Time Management, Technical Skills",Time Management
Female,79.0,"Mathematics, Chemistry",Biology,"Leadership, Public Speaking","Writing, Technology",Ambivert,Neutral,False,True,Medium,False,3.5,10.0,9.4,Academic,Neutral,29,True,PUC,"Data Analyst, Engineer","MBBS, Bachelor of Science","Technical Skills, Communication",Lack of Focus
Male,74.6,"English, Physics",History,"Critical Thinking, Problem Solving","Business, Writing",Extrovert,Neutral,True,False,High,True,7.9,1.8,4.0,Neutral,Diploma,39,True,Diploma,"Marketing Professional, Economist","Bachelor of Commerce, Diploma in Finance","Time Management, Technical Skills",Parental Pressure
Female,88.2,"History, Economics",Physics,"Critical Thinking, Creativity","Music, Art",Extrovert,Neutral,False,True,Low,True,8.9,4.9,9.7,Neutral,Neutral,26,False,PUC,"Artist, Historian","Diploma in Fine Arts, Bachelor of Arts","Communication, Time Management",Time Management
Female,77.2,"Economics, Chemistry",Geography,"Creativity, Leadership","Writing, Sports",Introvert,Academic,False,True,Low,True,2.7,7.4,8.2,Vocational,PUC,38,False,PUC,"Writer, Artist","Diploma in Fine Arts, Bachelor of Arts","Communication, Networking",Financial Constraint
Male,91.8,"Economics, History",Chemistry,"Critical Thinking, Creativity","Reading, Business",Ambivert,Neutral,False,True,Low,True,9.8,1.8,7.9,Vocational,PUC,39,False,PUC,"Data Analyst, Doctor","MBBS, Diploma in Engineering","Coding, Creativity",Financial Constraint
Male,62.7,"English, Chemistry",Biology,"Leadership, Critical Thinking","Sports, Reading",Ambivert,Skill-Based,True,True,Medium,False,6.6,8.9,7.1,Neutral,Diploma,1,True,Diploma,"Engineer, Scientist","MBBS, Diploma in Engineering","Time Management, Communication",Financial Constraint
Male,77.1,"Geography, Mathematics",Biology,"Coding, Public Speaking","Art, Writing",Introvert,Skill-Based,False,False,High,True,9.6,8.1,9.3,Vocational,PUC,35,True,Diploma,"Economist, Accountant","Bachelor of Commerce, CA Foundation","Creativity, Networking",Parental Pressure
Female,87.5,"Mathematics, English",History,"Critical Thinking, Public Speaking","Art, Music",Extrovert,Academic,True,False,Low,False,5.6,2.4,6.2,Academic,Diploma,27,False,Diploma,"Scientist, Doctor","Bachelor of Science, Diploma in Engineering","Creativity, Communication",Lack of Focus
Female,69.0,"Mathematics, Physics",Economics,"Public Speaking, Problem Solving","Music, Art",Introvert,Skill-Based,True,True,High,False,5.8,2.6,5.9,Neutral,Diploma,30,False,Diploma,"Designer, Artist","Bachelor of Arts, Diploma in Fine Arts","Creativity, Networking",Lack of Focus
Female,68.8,"Biology, Mathematics",Chemistry,"Problem Solving, Critical Thinking","Art, Writing",Introvert,Neutral,True,True,Low,True,6.8,2.8,2.1,Vocational,PUC,34,True,Diploma,"Doctor, Engineer","Diploma in Engineering, Bachelor of Science","Time Management, Creativity",Lack of Focus
Male,86.4,"Physics, Chemistry",Biology,"Leadership, Teamwork","Art, Technology",Extrovert,Neutral,False,False,Low,False,9.5,8.6,7.9,Neutral,Diploma,45,True,Diploma,"Engineer, Scientist","MBBS, Diploma in Engineering","Networking, Coding",Financial Constraint
Female,73.3,"Physics, History",Chemistry,"Problem Solving, Teamwork","Art, Business",Ambivert,Neutral,False,True,Medium,True,2.5,2.3,1.5,Academic,Neutral,28,False,Diploma,"Engineer, Doctor","MBBS, Diploma in Engineering","Communication, Networking",Time Management
Female,84.1,"Physics, Biology",History,"Public Speaking, Critical Thinking","Writing, Business",Introvert,Academic,False,True,High,True,7.0,10.0,2.2,Vocational,Diploma,41,False,PUC,"Writer, Designer","Bachelor of Arts, Literature Studies","Time Management, Networking",Time Management
Female,86.9,"English, Biology",Mathematics,"Critical Thinking, Teamwork","Writing, Art",Introvert,Skill-Based,True,True,Low,False,6.0,3.8,7.4,Academic,Neutral,49,True,Diploma,"Marketing Professional, Business Analyst","Diploma in Finance, Bachelor of Commerce","Communication, Networking",Time Management
Female,61.1,"Biology, Mathematics",English,"Teamwork, Public Speaking","Music, Business",Introvert,Neutral,True,True,High,True,7.2,8.8,3.3,Neutral,PUC,46,False,Diploma,"Designer, Writer","Literature Studies, Diploma in Fine Arts","Technical Skills, Time Management",Lack of Focus
Female,84.7,"Biology, History",Mathematics,"Coding, Public Speaking","Music, Business",Extrovert,Skill-Based,False,True,High,True,7.0,2.8,8.0,Academic,Neutral,6,True,Diploma,"Doctor, Data Analyst","Diploma in Engineering, MBBS","Creativity, Communication",Parental Pressure
Male,82.4,"History, Chemistry",Biology,"Coding, Leadership","Sports, Business",Ambivert,Neutral,True,True,High,False,6.7,3.5,8.7,Academic,Neutral,37,False,Diploma,"Scientist, Data Analyst","Bachelor of Science, MBBS","Technical Skills, Coding",Financial Constraint
Male,89.4,"History, English",Economics,"Leadership, Creativity","Music, Technology",Ambivert,Skill-Based,False,False,High,False,3.1,5.0,4.0,Neutral,Diploma,21,False,Diploma,"Marketing Professional, Accountant","Diploma in Finance, Bachelor of Commerce","Networking, Time Management",Lack of Focus
Female,94.7,"History, Economics",Geography,"Coding, Problem Solving","Technology, Business",Introvert,Academic,True,True,Medium,True,2.7,7.0,1.2,Academic,Diploma,28,True,PUC,"Designer, Historian","Literature Studies, Diploma in Fine Arts","Networking, Technical Skills",Financial Constraint
Female,90.5,"Mathematics, English",Physics,"Coding, Teamwork","Art, Reading",Ambivert,Skill-Based,False,True,High,True,3.6,5.8,1.5,Neutral,Neutral,41,False,Diploma,"Business Analyst, Accountant","Bachelor of Commerce, Diploma in Finance","Networking, Communication",Parental Pressure
Male,85.6,"History, Biology",Mathematics,"Coding, Teamwork","Technology, Writing",Introvert,Academic,True,False,Medium,True,6.7,1.2,9.9,Neutral,PUC,23,False,Diploma,"Data Analyst, Engineer","Diploma in Engineering, MBBS","Creativity, Technical Skills",Time Management
Female,69.7,"Economics, Chemistry",Biology,"Problem Solving, Creativity","Sports, Business",Introvert,Skill-Based,False,True,High,True,2.4,7.4,8.4,Academic,Diploma,4,True,Diploma,"Marketing Professional, Business Analyst","Bachelor of Commerce, CA Foundation","Coding, Creativity",Lack of Focus
Male,81.9,"Geography, Physics",History,"Teamwork, Coding","Technology, Music",Ambivert,Neutral,True,True,Low,True,2.6,5.9,3.0,Vocational,Diploma,11,False,Diploma,"Historian, Artist","Literature Studies, Bachelor of Arts","Coding, Networking",Time Management
Male,85.5,"Biology, Geography",English,"Leadership, Problem Solving","Music, Art",Extrovert,Skill-Based,True,True,High,True,9.3,3.5,2.1,Academic,Neutral,37,True,Diploma,"Marketing Professional, Economist","Bachelor of Commerce, CA Foundation","Communication, Creativity",Lack of Focus
Female,79.5,"Mathematics, Chemistry",Economics,"Public Speaking, Coding","Technology, Reading",Ambivert,Academic,False,False,Low,False,3.0,9.5,7.0,Vocational,PUC,48,False,Diploma,"Doctor, Scientist","MBBS, Bachelor of Science","Creativity, Networking",Parental Pressure
Male,91.2,"Physics, Geography",Economics,"Coding, Creativity","Reading, Writing",Extrovert,Skill-Based,True,True,High,True,3.4,6.7,6.4,Vocational,Neutral,24,False,Diploma,"Scientist, Doctor","Bachelor of Science, MBBS","Creativity, Coding",Lack of Focus
Female,89.9,"Geography, Physics",Chemistry,"Teamwork, Coding","Technology, Business",Introvert,Neutral,False,False,High,False,9.9,1.5,1.1,Academic,PUC,7,False,PUC,"Historian, Designer","Diploma in Fine Arts, Bachelor of Arts","Technical Skills, Creativity",Time Management
Male,74.2,"Mathematics, English",Physics,"Teamwork, Leadership","Art, Business",Introvert,Skill-Based,True,False,High,True,7.7,3.9,2.7,Academic,Neutral,12,False,Diploma,"Data Analyst, Scientist","MBBS, Bachelor of Science","Communication, Technical Skills",Lack of Focus
Female,85.2,"English, Chemistry",Biology,"Problem Solving, Coding","Writing, Art",Introvert,Skill-Based,True,True,Medium,True,8.7,8.0,5.2,Vocational,Diploma,45,True,Diploma,"Artist, Historian","Literature Studies, Bachelor of Arts","Technical Skills, Communication",Financial Constraint
Male,65.0,"English, Chemistry",Economics,"Creativity, Critical Thinking","Technology, Art",Introvert,Neutral,True,False,Medium,False,5.7,4.6,4.8,Vocational,Neutral,14,True,Diploma,"Economist, Accountant","CA Foundation, Diploma in Finance","Coding, Time Management",Lack of Focus
Male,89.5,"Physics, Biology",Mathematics,"Critical Thinking, Creativity","Business, Writing",Extrovert,Academic,False,False,Medium,False,2.7,3.3,8.1,Academic,Neutral,3,True,Diploma,"Business Analyst, Marketing Professional","Bachelor of Commerce, CA Foundation","Coding, Networking",Lack of Focus
Female,82.4,"Biology, Chemistry",History,"Leadership, Public Speaking","Sports, Reading",Ambivert,Skill-Based,False,True,Medium,False,8.3,7.1,4.7,Neutral,Diploma,24,False,Diploma,"Artist, Designer","Diploma in Fine Arts, Bachelor of Arts","Networking, Creativity",Time Management
Female,91.1,"Geography, Economics",History,"Public Speaking, Coding","Music, Writing",Ambivert,Skill-Based,False,True,Low,False,6.7,4.9,5.0,Vocational,Diploma,42,False,Diploma,"Engineer, Scientist","Bachelor of Science, Diploma in Engineering","Coding, Creativity",Time Management
Male,68.2,"English, History",Biology,"Coding, Problem Solving","Art, Business",Extrovert,Skill-Based,False,False,Medium,False,5.4,4.6,5.8,Academic,Diploma,23,False,Diploma,"Writer, Artist","Bachelor of Arts, Literature Studies","Creativity, Coding",Lack of Focus
Male,86.2,"Biology, Chemistry",English,"Problem Solving, Creativity","Sports, Reading",Extrovert,Academic,True,False,Low,True,4.0,6.8,2.1,Academic,Neutral,30,True,Diploma,"Historian, Designer","Diploma in Fine Arts, Bachelor of Arts","Networking, Creativity",Financial Constraint
Female,76.7,"Mathematics, Geography",Physics,"Teamwork, Leadership","Music, Business",Extrovert,Neutral,False,False,High,False,6.0,5.9,6.7,Neutral,Neutral,17,True,PUC,"Data Analyst, Engineer","Diploma in Engineering, Bachelor of Science","Creativity, Networking",Lack of Focus
Male,79.2,"English, Biology",Economics,"Problem Solving, Critical Thinking","Sports, Reading",Ambivert,Neutral,True,True,High,False,5.7,5.1,1.1,Vocational,Diploma,11,False,Diploma,"Engineer, Data Analyst","Bachelor of Science, Diploma in Engineering","Coding, Networking",Time Management
Male,89.8,"Geography, Biology",History,"Public Speaking, Creativity","Writing, Art",Ambivert,Skill-Based,True,False,Low,False,1.3,1.3,4.9,Academic,Diploma,10,False,Diploma,"Historian, Designer","Bachelor of Arts, Diploma in Fine Arts","Communication, Networking",Parental Pressure
Male,74.5,"Biology, Physics",English,"Problem Solving, Public Speaking","Reading, Art",Extrovert,Neutral,True,False,Low,True,6.9,4.1,7.8,Neutral,Diploma,2,True,Diploma,"Designer, Historian","Literature Studies, Bachelor of Arts","Communication, Networking",Parental Pressure
Female,82.2,"Biology, Mathematics",Economics,"Creativity, Critical Thinking","Sports, Art",Ambivert,Academic,False,False,High,True,7.5,5.2,6.0,Vocational,Neutral,16,True,Diploma,"Writer, Artist","Diploma in Fine Arts, Bachelor of Arts","Creativity, Technical Skills",Time Management
Male,91.6,"English, Biology",Geography,"Coding, Leadership","Art, Technology",Ambivert,Academic,False,True,Low,True,5.0,3.2,3.1,Neutral,Neutral,16,True,PUC,"Scientist, Data Analyst","Bachelor of Science, Diploma in Engineering","Communication, Networking",Financial Constraint
Female,62.5,"Economics, English",Chemistry,"Public Speaking, Critical Thinking","Writing, Technology",Introvert,Neutral,True,False,Low,True,2.6,9.2,3.1,Neutral,Neutral,7,False,Diploma,"Designer, Historian","Bachelor of Arts, Diploma in Fine Arts","Time Management, Technical Skills",Parental Pressure
Male,89.0,"History, Biology",Chemistry,"Teamwork, Critical Thinking","Sports, Reading",Introvert,Skill-Based,False,True,High,False,1.1,8.6,2.3,Vocational,Neutral,23,False,Diploma,"Scientist, Doctor","MBBS, Bachelor of Science","Time Management, Technical Skills",Parental Pressure
Male,74.4,"Biology, Geography",English,"Leadership, Problem Solving","Reading, Writing",Extrovert,Skill-Based,True,False,Low,False,5.3,5.4,4.9,Neutral,PUC,33,True,Diploma,"Engineer, Scientist","Bachelor of Science, MBBS","Technical Skills, Coding",Parental Pressure
Male,75.7,"Geography, Mathematics",Economics,"Critical Thinking, Teamwork","Writing, Reading",Ambivert,Skill-Based,True,False,Low,True,8.7,4.8,5.3,Vocational,PUC,27,True,Diploma,"Artist, Designer","Literature Studies, Diploma in Fine Arts","Communication, Time Management",Time Management
Female,61.5,"Mathematics, History",Physics,"Public Speaking, Coding","Reading, Music",Extrovert,Neutral,False,False,Medium,True,9.0,6.2,4.8,Academic,Neutral,31,True,PUC,"Economist, Business Analyst","CA Foundation, Bachelor of Commerce","Networking, Time Management",Lack of Focus
Male,75.2,"Geography, Economics",Biology,"Public Speaking, Coding","Sports, Art",Extrovert,Skill-Based,True,True,High,False,6.8,2.9,6.8,Neutral,PUC,50,True,Diploma,"Designer, Writer","Diploma in Fine Arts, Bachelor of Arts","Coding, Creativity",Parental Pressure
Female,72.9,"Mathematics, Geography",Economics,"Critical Thinking, Creativity","Reading, Writing",Ambivert,Skill-Based,True,False,Medium,True,4.4,9.9,7.6,Academic,Neutral,23,False,Diploma,"Economist, Accountant","CA Foundation, Bachelor of Commerce","Communication, Technical Skills",Parental Pressure
Female,95.0,"Economics, Chemistry",Biology,"Problem Solving, Leadership","Art, Technology",Extrovert,Skill-Based,True,True,Medium,True,3.3,2.5,6.5,Neutral,PUC,24,False,Diploma,"Doctor, Engineer","MBBS, Bachelor of Science","Coding, Networking",Time Management
Male,64.5,"Biology, Geography",English,"Teamwork, Public Speaking","Technology, Reading",Extrovert,Neutral,False,False,High,True,9.3,8.0,9.0,Neutral,Neutral,45,False,Diploma,"Historian, Artist","Diploma in Fine Arts, Bachelor of Arts","Creativity, Technical Skills",Financial Constraint
Male,81.1,"Chemistry, Economics",History,"Creativity, Public Speaking","Sports, Writing",Ambivert,Academic,True,False,High,True,1.4,3.0,4.1,Academic,Diploma,6,True,Diploma,"Business Analyst, Economist","Bachelor of Commerce, Diploma in Finance","Time Management, Technical Skills",Financial Constraint
Female,65.3,"History, English",Geography,"Coding, Public Speaking","Art, Technology",Extrovert,Academic,True,True,Low,True,6.8,8.5,1.3,Vocational,Diploma,43,True,PUC,"Writer, Artist","Bachelor of Arts, Literature Studies","Creativity, Networking",Parental Pressure
Male,89.4,"History, Economics",English,"Problem Solving, Public Speaking","Sports, Reading",Ambivert,Academic,True,False,Low,True,5.9,2.5,8.3,Neutral,Diploma,28,True,Diploma,"Writer, Designer","Bachelor of Arts, Literature Studies","Technical Skills, Time Management",Parental Pressure
Male,80.7,"Chemistry, Economics",Physics,"Public Speaking, Leadership","Art, Music",Introvert,Academic,True,False,High,False,8.1,4.1,8.6,Vocational,Diploma,24,False,Diploma,"Writer, Artist","Literature Studies, Diploma in Fine Arts","Coding, Time Management",Parental Pressure
Female,73.9,"Economics, English",Geography,"Leadership, Problem Solving","Reading, Art",Introvert,Academic,False,False,High,True,1.6,4.7,9.6,Academic,Diploma,33,False,PUC,"Data Analyst, Doctor","Bachelor of Science, Diploma in Engineering","Coding, Networking",Parental Pressure
Male,77.9,"English, Geography",Mathematics,"Problem Solving, Creativity","Reading, Art",Ambivert,Academic,False,False,Low,False,3.2,4.1,7.9,Academic,PUC,31,False,Diploma,"Artist, Writer","Diploma in Fine Arts, Bachelor of Arts","Time Management, Communication",Time Management
Male,75.8,"English, Physics",Economics,"Critical Thinking, Problem Solving","Writing, Sports",Introvert,Neutral,True,False,Low,True,6.0,7.6,8.1,Academic,Neutral,8,True,Diploma,"Engineer, Data Analyst","MBBS, Bachelor of Science","Coding, Time Management",Financial Constraint
Female,63.6,"Physics, Geography",History,"Leadership, Teamwork","Reading, Business",Extrovert,Neutral,True,False,Medium,False,2.1,6.3,3.0,Vocational,Neutral,45,False,Diploma,"Economist, Business Analyst","Diploma in Finance, CA Foundation","Networking, Technical Skills",Lack of Focus
Male,75.7,"Economics, History",Chemistry,"Teamwork, Public Speaking","Music, Technology",Extrovert,Academic,True,True,High,True,3.1,6.9,6.9,Neutral,Neutral,37,False,PUC,"Artist, Historian","Diploma in Fine Arts, Literature Studies","Networking, Coding",Time Management
